AA,AUA,America/Aruba
AJ,LLK,Asia/Baku
AJ,NAJ,Asia/Baku
AJ,ZTU,Asia/Baku
AL,TIA,Europe/Tirane
AM,EVN,Asia/Yerevan
AM,LWN,Asia/Yerevan
AO,BUG,Africa/Luanda
AO,CAB,Africa/Luanda
AO,CBT,Africa/Luanda
AO,DUE,Africa/Luanda
AO,GXG,Africa/Luanda
AO,LAD,Africa/Luanda
AO,LBZ,Africa/Luanda
AO,LUO,Africa/Luanda
AO,MEG,Africa/Luanda
AO,MSZ,Africa/Luanda
AO,NOV,Africa/Luanda
AO,NZA,Africa/Luanda
AO,PBN,Africa/Luanda
AO,SDD,Africa/Luanda
AO,SPP,Africa/Luanda
AO,SSY,Africa/Luanda
AO,SVP,Africa/Luanda
AO,SZA,Africa/Luanda
AO,UGO,Africa/Luanda
AO,VHC,Africa/Luanda
AO,VPE,Africa/Luanda
AO,XGN,Africa/Luanda
AQ,FTI,Pacific/Pago_Pago
AQ,PPG,Pacific/Pago_Pago
AR,AEP,America/Buenos_Aires
AR,AFA,America/Mendoza
AR,AOL,America/Cordoba
AR,APZ,America/Argentina/Salta
AR,ARR,America/Catamarca
AR,BHI,America/Buenos_Aires
AR,BRC,America/Argentina/Salta
AR,CNQ,America/Cordoba
AR,COC,America/Cordoba
AR,COR,America/Cordoba
AR,CPC,America/Argentina/Salta
AR,CRD,America/Catamarca
AR,CTC,America/Catamarca
AR,EHL,America/Argentina/Salta
AR,EQS,America/Catamarca
AR,EZE,America/Buenos_Aires
AR,FMA,America/Cordoba
AR,FTE,America/Argentina/Rio_Gallegos
AR,GGS,America/Argentina/Rio_Gallegos
AR,GHU,America/Cordoba
AR,IGB,America/Argentina/Salta
AR,IGR,America/Cordoba
AR,ING,America/Argentina/Rio_Gallegos
AR,IRJ,America/Argentina/La_Rioja
AR,JSM,America/Catamarca
AR,JUJ,America/Jujuy
AR,LGS,America/Mendoza
AR,LHS,America/Argentina/Rio_Gallegos
AR,LPG,America/Buenos_Aires
AR,LUQ,America/Argentina/San_Luis
AR,MDQ,America/Buenos_Aires
AR,MDZ,America/Mendoza
AR,NEC,America/Buenos_Aires
AR,NQN,America/Argentina/Salta
AR,OES,America/Argentina/Salta
AR,ORA,America/Argentina/Salta
AR,PMQ,America/Argentina/Rio_Gallegos
AR,PMY,America/Catamarca
AR,PRA,America/Cordoba
AR,PSS,America/Cordoba
AR,PUD,America/Argentina/Rio_Gallegos
AR,RCU,America/Cordoba
AR,RDS,America/Argentina/Salta
AR,REL,America/Catamarca
AR,RES,America/Cordoba
AR,RGA,America/Argentina/Ushuaia
AR,RGL,America/Argentina/Rio_Gallegos
AR,RHD,America/Cordoba
AR,ROS,America/Cordoba
AR,RSA,America/Argentina/Salta
AR,RZA,America/Argentina/Rio_Gallegos
AR,SDE,America/Cordoba
AR,SFN,America/Cordoba
AR,SGV,America/Argentina/Salta
AR,SLA,America/Argentina/Salta
AR,SST,America/Buenos_Aires
AR,TDL,America/Buenos_Aires
AR,TTG,America/Argentina/Salta
AR,TUC,America/Argentina/Tucuman
AR,UAQ,America/Argentina/San_Juan
AR,ULA,America/Argentina/Rio_Gallegos
AR,USH,America/Argentina/Ushuaia
AR,VDM,America/Argentina/Salta
AR,VDR,America/Cordoba
AR,VLG,America/Buenos_Aires
AS,ABM,Australia/Brisbane
AS,ABX,Australia/Sydney
AS,ADL,Australia/Adelaide
AS,ALH,Australia/Perth
AS,ARM,Australia/Sydney
AS,ASP,Australia/Darwin
AS,AUU,Australia/Brisbane
AS,AVV,Australia/Hobart
AS,AYQ,Australia/Darwin
AS,BCI,Australia/Brisbane
AS,BDB,Australia/Brisbane
AS,BDD,Australia/Brisbane
AS,BEO,Australia/Sydney
AS,BEU,Australia/Brisbane
AS,BHQ,Australia/Adelaide
AS,BHS,Australia/Sydney
AS,BKQ,Australia/Brisbane
AS,BLT,Australia/Brisbane
AS,BME,Australia/Perth
AS,BMP,Australia/Brisbane
AS,BNE,Australia/Brisbane
AS,BNK,Australia/Sydney
AS,BQB,Australia/Perth
AS,BQL,Australia/Brisbane
AS,BRK,Australia/Sydney
AS,BRT,Australia/Darwin
AS,BSJ,Australia/Hobart
AS,BUC,Australia/Brisbane
AS,BVI,Australia/Brisbane
AS,BWB,Australia/Perth
AS,BWT,Australia/Melbourne
AS,BWU,Australia/Sydney
AS,CAZ,Australia/Sydney
AS,CBR,Australia/Sydney
AS,CCL,Australia/Brisbane
AS,CDA,Australia/Darwin
AS,CDU,Australia/Sydney
AS,CED,Australia/Adelaide
AS,CES,Australia/Sydney
AS,CFS,Australia/Sydney
AS,CMA,Australia/Brisbane
AS,CNB,Australia/Sydney
AS,CNC,Australia/Brisbane
AS,CNJ,Australia/Brisbane
AS,CNS,Australia/Brisbane
AS,COJ,Australia/Sydney
AS,CPD,Australia/Adelaide
AS,CTL,Australia/Brisbane
AS,CTN,Australia/Brisbane
AS,CUQ,Australia/Brisbane
AS,CVQ,Australia/Perth
AS,DBO,Australia/Sydney
AS,DGE,Australia/Sydney
AS,DKI,Australia/Brisbane
AS,DMD,Australia/Brisbane
AS,DPO,Australia/Melbourne
AS,DRB,Australia/Perth
AS,DRW,Australia/Darwin
AS,EDR,Australia/Brisbane
AS,ELC,Australia/Darwin
AS,EMD,Australia/Brisbane
AS,EPR,Australia/Perth
AS,FIZ,Australia/Perth
AS,FLS,Australia/Melbourne
AS,GAH,Australia/Brisbane
AS,GET,Australia/Perth
AS,GEX,Australia/Hobart
AS,GFF,Australia/Sydney
AS,GFN,Australia/Sydney
AS,GIC,Australia/Brisbane
AS,GKL,Australia/Brisbane
AS,GLI,Australia/Sydney
AS,GLT,Australia/Brisbane
AS,GOV,Australia/Darwin
AS,GTE,Australia/Darwin
AS,GUL,Australia/Sydney
AS,GYL,Australia/Perth
AS,HBA,Australia/Melbourne
AS,HCQ,Australia/Perth
AS,HGD,Australia/Brisbane
AS,HID,Australia/Brisbane
AS,HIS,Australia/Brisbane
AS,HLT,Australia/Hobart
AS,HOK,Australia/Darwin
AS,HTI,Australia/Brisbane
AS,HVB,Australia/Brisbane
AS,IFL,Australia/Brisbane
AS,IRG,Australia/Brisbane
AS,ISA,Australia/Brisbane
AS,IVR,Australia/Sydney
AS,JAB,Australia/Darwin
AS,JAD,Australia/Perth
AS,JCK,Australia/Brisbane
AS,JHQ,Australia/Brisbane
AS,KAX,Australia/Perth
AS,KFE,Australia/Perth
AS,KFG,Australia/Darwin
AS,KGC,Australia/Adelaide
AS,KGI,Australia/Perth
AS,KNS,Australia/Melbourne
AS,KNX,Australia/Perth
AS,KRB,Australia/Brisbane
AS,KTA,Australia/Perth
AS,KTR,Australia/Darwin
AS,KUG,Australia/Brisbane
AS,KWM,Australia/Brisbane
AS,LDH,Australia/Lord_Howe
AS,LEA,Australia/Perth
AS,LEL,Australia/Darwin
AS,LER,Australia/Perth
AS,LGH,Australia/Adelaide
AS,LHG,Australia/Sydney
AS,LNO,Australia/Perth
AS,LRE,Australia/Brisbane
AS,LST,Australia/Melbourne
AS,LSY,Australia/Sydney
AS,LVO,Australia/Perth
AS,LZR,Australia/Brisbane
AS,MBH,Australia/Brisbane
AS,MBW,Australia/Hobart
AS,MCV,Australia/Darwin
AS,MCY,Australia/Brisbane
AS,MEB,Australia/Hobart
AS,MEL,Australia/Hobart
AS,MGB,Australia/Adelaide
AS,MGT,Australia/Darwin
AS,MHU,Australia/Hobart
AS,MIM,Australia/Sydney
AS,MJK,Australia/Perth
AS,MKR,Australia/Perth
AS,MKY,Australia/Brisbane
AS,MMG,Australia/Perth
AS,MNG,Australia/Darwin
AS,MOO,Australia/Adelaide
AS,MOV,Australia/Brisbane
AS,MQL,Australia/Hobart
AS,MRZ,Australia/Sydney
AS,MTL,Australia/Sydney
AS,MYA,Australia/Sydney
AS,MYI,Australia/Brisbane
AS,NAA,Australia/Sydney
AS,NLF,Australia/Brisbane
AS,NOA,Australia/Sydney
AS,NRA,Australia/Sydney
AS,NSO,Australia/Sydney
AS,NTL,Australia/Sydney
AS,NTN,Australia/Brisbane
AS,OAG,Australia/Sydney
AS,OKB,America/Los_Angeles
AS,OKR,Australia/Brisbane
AS,OKY,Australia/Brisbane
AS,OLP,Australia/Adelaide
AS,ONG,Australia/Brisbane
AS,ONS,Australia/Perth
AS,OOL,Australia/Brisbane
AS,OOM,Australia/Sydney
AS,PBO,Australia/Perth
AS,PEA,Australia/Adelaide
AS,PER,Australia/Perth
AS,PHE,Australia/Perth
AS,PKE,Australia/Sydney
AS,PLO,Australia/Adelaide
AS,PMK,Australia/Brisbane
AS,PPP,Australia/Brisbane
AS,PQQ,Australia/Sydney
AS,PTJ,Australia/Hobart
AS,PUG,Australia/Adelaide
AS,PXH,Australia/Adelaide
AS,RAM,Australia/Darwin
AS,RMA,Australia/Brisbane
AS,RMK,Australia/Adelaide
AS,ROK,Australia/Brisbane
AS,RPB,Australia/Darwin
AS,RTS,Australia/Perth
AS,RVT,Australia/Perth
AS,SBR,Australia/Brisbane
AS,SGO,Australia/Brisbane
AS,SHT,Australia/Hobart
AS,SRN,Australia/Melbourne
AS,SYD,Australia/Sydney
AS,SYU,Australia/Brisbane
AS,TCA,Australia/Darwin
AS,TDR,Australia/Brisbane
AS,TEF,Australia/Perth
AS,TEM,Australia/Sydney
AS,THG,Australia/Brisbane
AS,TMW,Australia/Sydney
AS,TRO,Australia/Sydney
AS,TSV,Australia/Brisbane
AS,TWB,Australia/Brisbane
AS,UBB,Australia/Brisbane
AS,ULP,Australia/Brisbane
AS,UMR,Australia/Adelaide
AS,VCD,Australia/Darwin
AS,WEI,Australia/Brisbane
AS,WGA,Australia/Sydney
AS,WGE,Australia/Sydney
AS,WIN,Australia/Brisbane
AS,WIO,Australia/Sydney
AS,WME,Australia/Perth
AS,WNR,Australia/Brisbane
AS,WOL,Australia/Sydney
AS,WSY,Australia/Brisbane
AS,WTB,Australia/Brisbane
AS,WUN,Australia/Perth
AS,WYA,Australia/Adelaide
AS,XMC,Australia/Hobart
AS,XMY,Australia/Brisbane
AS,XTG,Australia/Brisbane
AS,YUE,Australia/Darwin
AS,ZNE,Australia/Perth
AU,GRZ,Europe/Vienna
AU,HOJ,Europe/Vienna
AU,INN,Europe/Vienna
AU,KLU,Europe/Vienna
AU,LNZ,Europe/Vienna
AU,RCM,Australia/Brisbane
AU,SZG,Europe/Vienna
AU,VIE,Europe/Vienna
AV,AXA,America/Anguilla
BA,BAH,Asia/Bahrain
BA,TZL,Europe/Sarajevo
BB,BGI,America/Barbados
BC,BBK,Africa/Gaborone
BC,FRW,Africa/Gaborone
BC,GBE,Africa/Gaborone
BC,GNZ,Africa/Gaborone
BC,JWA,Africa/Gaborone
BC,KHW,Africa/Gaborone
BC,MUB,Africa/Gaborone
BC,ORP,Africa/Gaborone
BC,PKW,Africa/Gaborone
BC,SWX,Africa/Gaborone
BC,TLD,Africa/Gaborone
BD,BDA,Atlantic/Bermuda
BE,ANR,Europe/Brussels
BE,BRU,Europe/Brussels
BE,CRL,Europe/Brussels
BE,LGG,Europe/Brussels
BE,OST,Europe/Brussels
BE,QKT,Europe/Brussels
BF,ASD,America/Nassau
BF,ATC,America/Nassau
BF,AXP,America/Nassau
BF,BIM,America/Nassau
BF,CAT,America/Nassau
BF,CCZ,America/Nassau
BF,COX,America/Nassau
BF,CRI,America/Nassau
BF,ELH,America/Nassau
BF,FPO,America/Nassau
BF,GGT,America/Nassau
BF,GHB,America/Nassau
BF,IGA,America/Nassau
BF,LGI,America/Nassau
BF,MHH,America/Nassau
BF,MYG,America/Nassau
BF,NAS,America/Nassau
BF,PID,America/Nassau
BF,RSD,America/Nassau
BF,SAQ,America/Nassau
BF,SML,America/Nassau
BF,TCB,America/Nassau
BF,ZSA,America/Nassau
BG,BZL,Asia/Dhaka
BG,CGP,Asia/Dhaka
BG,CXB,Asia/Dhaka
BG,DAC,Asia/Dhaka
BG,IRD,Asia/Dhaka
BG,JSR,Asia/Dhaka
BG,RJH,Asia/Dhaka
BG,SPD,Asia/Dhaka
BG,ZYL,Asia/Dhaka
BK,BNX,Europe/Sarajevo
BK,OMO,Europe/Sarajevo
BK,SJJ,Europe/Sarajevo
BL,BJO,America/La_Paz
BL,BYC,America/La_Paz
BL,CBB,America/La_Paz
BL,CIJ,America/La_Paz
BL,GYA,America/La_Paz
BL,LPB,America/La_Paz
BL,POI,America/La_Paz
BL,PSZ,America/La_Paz
BL,PUR,America/La_Paz
BL,REY,America/La_Paz
BL,RIB,America/La_Paz
BL,SBH,America/St_Barthelemy
BL,SRE,America/La_Paz
BL,SRJ,America/La_Paz
BL,SRZ,America/La_Paz
BL,TDD,America/La_Paz
BL,TJA,America/La_Paz
BL,UYU,America/La_Paz
BL,VVI,America/La_Paz
BM,AKY,Asia/Rangoon
BM,BMO,Asia/Rangoon
BM,BPE,Asia/Shanghai
BM,BSX,Asia/Rangoon
BM,HEH,Asia/Rangoon
BM,KAW,Asia/Rangoon
BM,KET,Asia/Rangoon
BM,KHM,Asia/Rangoon
BM,KYP,Asia/Rangoon
BM,LIW,Asia/Rangoon
BM,LSH,Asia/Rangoon
BM,MDL,Asia/Rangoon
BM,MGZ,Asia/Rangoon
BM,MNU,Asia/Rangoon
BM,MOG,Asia/Rangoon
BM,MWQ,Asia/Rangoon
BM,MYT,Asia/Rangoon
BM,NYT,Asia/Rangoon
BM,NYU,Asia/Rangoon
BM,PBU,Asia/Rangoon
BM,PKK,Asia/Rangoon
BM,RGN,Asia/Rangoon
BM,SNW,Asia/Rangoon
BM,THL,Asia/Rangoon
BM,TVY,Asia/Rangoon
BM,XYE,Asia/Rangoon
BN,COO,Africa/Porto-Novo
BO,BQT,Europe/Minsk
BO,GME,Europe/Minsk
BO,GNA,Europe/Minsk
BO,MHP,Europe/Minsk
BO,MSQ,Europe/Minsk
BO,MVQ,Europe/Minsk
BO,ORU,America/La_Paz
BO,RBQ,America/La_Paz
BO,VTB,Europe/Minsk
BP,AFT,Pacific/Guadalcanal
BP,AKS,Pacific/Guadalcanal
BP,ATD,Pacific/Guadalcanal
BP,BAS,Pacific/Guadalcanal
BP,CHY,Pacific/Guadalcanal
BP,EGM,Pacific/Guadalcanal
BP,FRE,Pacific/Guadalcanal
BP,GZO,Pacific/Guadalcanal
BP,HIR,Pacific/Guadalcanal
BP,IRA,Pacific/Guadalcanal
BP,KGE,Pacific/Guadalcanal
BP,MBU,Pacific/Guadalcanal
BP,MNY,Pacific/Guadalcanal
BP,MUA,Pacific/Guadalcanal
BP,NNB,Pacific/Guadalcanal
BP,RBV,Pacific/Guadalcanal
BP,RIN,Pacific/Guadalcanal
BP,RNA,Pacific/Guadalcanal
BP,RNL,Pacific/Guadalcanal
BP,RUS,Pacific/Guadalcanal
BP,SCZ,Pacific/Guadalcanal
BP,VAO,Pacific/Guadalcanal
BP,XYA,Pacific/Guadalcanal
BR,AAX,America/Sao_Paulo
BR,AFL,America/Campo_Grande
BR,AJU,America/Fortaleza
BR,AQA,America/Sao_Paulo
BR,ARU,America/Sao_Paulo
BR,ATM,America/Belem
BR,AUX,America/Fortaleza
BR,BAU,America/Sao_Paulo
BR,BAZ,America/Boa_Vista
BR,BEL,America/Belem
BR,BFH,America/Sao_Paulo
BR,BGX,America/Sao_Paulo
BR,BJP,America/Sao_Paulo
BR,BNU,America/Sao_Paulo
BR,BPS,America/Fortaleza
BR,BRA,America/Fortaleza
BR,BSB,America/Sao_Paulo
BR,BVB,America/Boa_Vista
BR,BVH,America/Boa_Vista
BR,BVS,America/Belem
BR,BYO,America/Campo_Grande
BR,CAC,America/Sao_Paulo
BR,CAF,America/Boa_Vista
BR,CAU,America/Fortaleza
BR,CAW,America/Sao_Paulo
BR,CCI,America/Sao_Paulo
BR,CCM,America/Sao_Paulo
BR,CDJ,America/Belem
BR,CFB,America/Sao_Paulo
BR,CFC,America/Sao_Paulo
BR,CFO,America/Campo_Grande
BR,CGB,America/Campo_Grande
BR,CGH,America/Sao_Paulo
BR,CGR,America/Campo_Grande
BR,CIZ,America/Boa_Vista
BR,CKS,America/Belem
BR,CLN,America/Fortaleza
BR,CLV,America/Sao_Paulo
BR,CMG,America/Campo_Grande
BR,CMP,America/Belem
BR,CNF,America/Sao_Paulo
BR,CPQ,America/Sao_Paulo
BR,CPV,America/Fortaleza
BR,CRQ,America/Fortaleza
BR,CWB,America/Sao_Paulo
BR,CXJ,America/Sao_Paulo
BR,CZS,America/Rio_Branco
BR,DIQ,America/Sao_Paulo
BR,DMT,America/Campo_Grande
BR,DOU,America/Campo_Grande
BR,DTI,America/Sao_Paulo
BR,ERM,America/Sao_Paulo
BR,ERN,America/Boa_Vista
BR,FBA,America/Boa_Vista
BR,FBE,America/Sao_Paulo
BR,FEN,America/Fortaleza
BR,FLN,America/Sao_Paulo
BR,FOR,America/Fortaleza
BR,FRC,America/Sao_Paulo
BR,GEL,America/Sao_Paulo
BR,GIG,America/Sao_Paulo
BR,GNM,America/Fortaleza
BR,GPB,America/Sao_Paulo
BR,GRP,America/Fortaleza
BR,GRU,America/Sao_Paulo
BR,GVR,America/Sao_Paulo
BR,GYN,America/Sao_Paulo
BR,HUW,America/Boa_Vista
BR,IGU,America/Sao_Paulo
BR,IMP,America/Fortaleza
BR,IOS,America/Fortaleza
BR,IPN,America/Sao_Paulo
BR,IRZ,America/Boa_Vista
BR,ITB,America/Belem
BR,IZA,America/Sao_Paulo
BR,JCB,America/Sao_Paulo
BR,JDF,America/Sao_Paulo
BR,JDO,America/Fortaleza
BR,JJG,America/Sao_Paulo
BR,JOI,America/Sao_Paulo
BR,JPA,America/Fortaleza
BR,JPR,America/Boa_Vista
BR,JTC,America/Sao_Paulo
BR,LAZ,America/Fortaleza
BR,LBR,America/Boa_Vista
BR,LDB,America/Sao_Paulo
BR,LEC,America/Fortaleza
BR,LIP,America/Sao_Paulo
BR,LVR,America/Campo_Grande
BR,MAB,America/Belem
BR,MAO,America/Boa_Vista
BR,MBZ,America/Boa_Vista
BR,MCP,America/Fortaleza
BR,MCZ,America/Fortaleza
BR,MEA,America/Sao_Paulo
BR,MGF,America/Sao_Paulo
BR,MII,America/Sao_Paulo
BR,MNX,America/Boa_Vista
BR,MOC,America/Sao_Paulo
BR,MQH,America/Sao_Paulo
BR,MVF,America/Fortaleza
BR,MVS,America/Fortaleza
BR,NAT,America/Fortaleza
BR,NVP,America/Boa_Vista
BR,NVT,America/Sao_Paulo
BR,OAL,America/Boa_Vista
BR,OIA,America/Belem
BR,OLC,America/Boa_Vista
BR,OPS,America/Campo_Grande
BR,ORX,America/Belem
BR,PAV,America/Fortaleza
BR,PET,America/Sao_Paulo
BR,PFB,America/Sao_Paulo
BR,PIN,America/Boa_Vista
BR,PLL,America/Boa_Vista
BR,PLU,America/Sao_Paulo
BR,PMG,America/Campo_Grande
BR,PMW,America/Fortaleza
BR,PNB,America/Fortaleza
BR,PNZ,America/Fortaleza
BR,POA,America/Sao_Paulo
BR,POJ,America/Sao_Paulo
BR,POO,America/Sao_Paulo
BR,PPB,America/Sao_Paulo
BR,PVH,America/Boa_Vista
BR,QCJ,America/Sao_Paulo
BR,QNV,America/Sao_Paulo
BR,QPS,America/Sao_Paulo
BR,QSC,America/Sao_Paulo
BR,RAO,America/Sao_Paulo
BR,RBB,America/Boa_Vista
BR,RBR,America/Rio_Branco
BR,RDC,America/Belem
BR,REC,America/Fortaleza
BR,RIA,America/Sao_Paulo
BR,ROO,America/Campo_Grande
BR,RVD,America/Sao_Paulo
BR,SDU,America/Sao_Paulo
BR,SFK,America/Belem
BR,SJK,America/Sao_Paulo
BR,SJL,America/Boa_Vista
BR,SJP,America/Sao_Paulo
BR,SLZ,America/Fortaleza
BR,SOD,America/Sao_Paulo
BR,SRA,America/Sao_Paulo
BR,SSA,America/Fortaleza
BR,SSZ,America/Sao_Paulo
BR,STM,America/Belem
BR,STU,America/Sao_Paulo
BR,STZ,America/Campo_Grande
BR,SXO,America/Campo_Grande
BR,SXX,America/Belem
BR,TBT,America/Boa_Vista
BR,TFF,America/Boa_Vista
BR,THE,America/Fortaleza
BR,TJL,America/Campo_Grande
BR,TMT,America/Belem
BR,TOW,America/Sao_Paulo
BR,TUR,America/Belem
BR,UBA,America/Sao_Paulo
BR,UDI,America/Sao_Paulo
BR,UMU,America/Sao_Paulo
BR,UNA,America/Fortaleza
BR,URG,America/Sao_Paulo
BR,VAG,America/Sao_Paulo
BR,VAL,America/Fortaleza
BR,VCP,America/Sao_Paulo
BR,VDC,America/Fortaleza
BR,VIX,America/Sao_Paulo
BR,XAP,America/Sao_Paulo
BT,PBH,Asia/Thimphu
BU,BOJ,Europe/Sofia
BU,GOZ,Europe/Sofia
BU,PDV,Europe/Sofia
BU,SOF,Europe/Sofia
BU,VAR,Europe/Sofia
BX,BWN,Asia/Brunei
BY,BJM,Africa/Bujumbura
BZ,BCV,America/Anchorage
BZ,BZE,America/Belize
BZ,CUK,America/Belize
BZ,CUK,America/Belize
BZ,SPR,America/Belize
BZ,TZA,America/Belize
CA,AKV,America/Toronto
CA,CXH,America/Vancouver
CA,ILF,America/Winnipeg
CA,KEW,America/Winnipeg
CA,KIF,America/Toronto
CA,LAK,America/Edmonton
CA,MSA,America/Winnipeg
CA,ND4,America/Toronto
CA,NF4,America/Toronto
CA,NU8,America/Toronto
CA,QBC,America/Vancouver
CA,SUR,America/Toronto
CA,WNN,America/Toronto
CA,XBE,America/Winnipeg
CA,XGR,America/Toronto
CA,XKS,America/Toronto
CA,XLB,America/Winnipeg
CA,XSI,America/Winnipeg
CA,XTL,America/Winnipeg
CA,YAA,America/Vancouver
CA,YAB,America/Winnipeg
CA,YAC,America/Winnipeg
CA,YAG,America/Winnipeg
CA,YAM,America/Toronto
CA,YAT,America/Toronto
CA,YAV,America/Winnipeg
CA,YAW,America/Halifax
CA,YAX,America/Winnipeg
CA,YAY,America/St_Johns
CA,YAZ,America/Vancouver
CA,YBB,America/Edmonton
CA,YBC,America/Toronto
CA,YBE,America/Regina
CA,YBG,America/Toronto
CA,YBI,America/Halifax
CA,YBK,America/Winnipeg
CA,YBL,America/Vancouver
CA,YBO,America/Vancouver
CA,YBR,America/Winnipeg
CA,YBT,America/Winnipeg
CA,YBV,America/Winnipeg
CA,YBW,America/Vancouver
CA,YBX,America/Blanc-Sablon
CA,YBY,America/Edmonton
CA,YCB,America/Edmonton
CA,YCC,America/Toronto
CA,YCD,America/Vancouver
CA,YCG,America/Vancouver
CA,YCH,America/Halifax
CA,YCK,America/Edmonton
CA,YCL,America/Halifax
CA,YCM,America/Toronto
CA,YCN,America/Toronto
CA,YCO,America/Edmonton
CA,YCR,America/Winnipeg
CA,YCS,America/Winnipeg
CA,YCT,America/Edmonton
CA,YCW,America/Vancouver
CA,YCY,America/Toronto
CA,YDA,America/Vancouver
CA,YDB,America/Vancouver
CA,YDC,America/Vancouver
CA,YDF,America/St_Johns
CA,YDL,America/Vancouver
CA,YDN,America/Winnipeg
CA,YDP,America/Halifax
CA,YDQ,America/Dawson_Creek
CA,YDT,America/Vancouver
CA,YEE,America/Toronto
CA,YEG,America/Edmonton
CA,YEK,America/Winnipeg
CA,YEL,America/Toronto
CA,YEM,America/Toronto
CA,YEN,America/Regina
CA,YER,America/Toronto
CA,YET,America/Edmonton
CA,YEU,America/Winnipeg
CA,YEV,America/Edmonton
CA,YFA,America/Toronto
CA,YFB,America/Toronto
CA,YFC,America/Halifax
CA,YFD,America/Toronto
CA,YFH,America/Toronto
CA,YFJ,America/Edmonton
CA,YFO,America/Winnipeg
CA,YFR,America/Edmonton
CA,YFS,America/Edmonton
CA,YFX,America/St_Johns
CA,YGB,America/Vancouver
CA,YGE,America/Edmonton
CA,YGG,America/Vancouver
CA,YGH,America/Edmonton
CA,YGK,America/Toronto
CA,YGL,America/Toronto
CA,YGM,America/Winnipeg
CA,YGO,America/Winnipeg
CA,YGP,America/Toronto
CA,YGQ,America/Toronto
CA,YGR,America/Toronto
CA,YGT,America/Toronto
CA,YGV,America/Toronto
CA,YGW,America/Toronto
CA,YGX,America/Winnipeg
CA,YGZ,America/Toronto
CA,YHA,America/St_Johns
CA,YHB,America/Regina
CA,YHD,America/Winnipeg
CA,YHF,America/Toronto
CA,YHI,America/Edmonton
CA,YHK,America/Edmonton
CA,YHM,America/Toronto
CA,YHN,America/Toronto
CA,YHO,America/Halifax
CA,YHP,America/Winnipeg
CA,YHR,America/Blanc-Sablon
CA,YHU,America/Toronto
CA,YHY,America/Edmonton
CA,YHZ,America/Halifax
CA,YIB,America/Coral_Harbour
CA,YIF,America/Blanc-Sablon
CA,YIK,America/Toronto
CA,YIO,America/Toronto
CA,YIV,America/Winnipeg
CA,YJM,America/Vancouver
CA,YJN,America/Toronto
CA,YJT,America/St_Johns
CA,YKA,America/Vancouver
CA,YKF,America/Toronto
CA,YKG,America/Toronto
CA,YKL,America/Toronto
CA,YKQ,America/Toronto
CA,YKU,America/Toronto
CA,YKX,America/Toronto
CA,YKY,America/Regina
CA,YKZ,America/Toronto
CA,YLC,America/Toronto
CA,YLD,America/Toronto
CA,YLE,America/Edmonton
CA,YLH,America/Toronto
CA,YLJ,America/Regina
CA,YLK,America/Toronto
CA,YLL,America/Edmonton
CA,YLT,America/Toronto
CA,YLW,America/Vancouver
CA,YMA,America/Vancouver
CA,YMG,America/Toronto
CA,YMH,America/St_Johns
CA,YMJ,America/Regina
CA,YMM,America/Edmonton
CA,YMN,America/Halifax
CA,YMO,America/Toronto
CA,YMT,America/Toronto
CA,YMW,America/Toronto
CA,YMX,America/Toronto
CA,YNA,America/Toronto
CA,YNC,America/Toronto
CA,YND,America/Toronto
CA,YNE,America/Winnipeg
